2023-06-16 21:59:24.958 [gateway-service,,] [background-preinit] DEBUG org.jboss.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2023-06-16 21:59:24.966 [gateway-service,,] [background-preinit] DEBUG o.h.v.internal.xml.config.ValidationXmlParser - Trying to load META-INF/validation.xml for XML based Validator configuration.
2023-06-16 21:59:24.967 [gateway-service,,] [background-preinit] DEBUG o.h.v.internal.xml.config.ResourceLoaderHelper - Trying to load META-INF/validation.xml via TCCL
2023-06-16 21:59:24.967 [gateway-service,,] [background-preinit] DEBUG o.h.v.internal.xml.config.ResourceLoaderHelper - Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2023-06-16 21:59:24.968 [gateway-service,,] [background-preinit] DEBUG o.h.v.internal.xml.config.ValidationXmlParser - No META-INF/validation.xml found. Using annotation based configuration only.
2023-06-16 21:59:24.970 [gateway-service,,] [main] DEBUG c.example.gatewayservice.GatewayServiceApplication - Running with Spring Boot v2.7.9, Spring v5.3.25
2023-06-16 21:59:24.970 [gateway-service,,] [background-preinit] DEBUG o.h.v.i.engine.resolver.TraversableResolvers - Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
2023-06-16 21:59:24.971 [gateway-service,,] [main] DEBUG org.springframework.boot.SpringApplication - Loading source class com.example.gatewayservice.GatewayServiceApplication
2023-06-16 21:59:24.989 [gateway-service,,] [background-preinit] DEBUG o.h.v.m.ResourceBundleMessageInterpolator - Loaded expression factory via original TCCL
2023-06-16 21:59:25.002 [gateway-service,,] [main] DEBUG o.s.b.w.r.c.AnnotationConfigReactiveWebServerApplicationContext - Refreshing org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@591e58fa
2023-06-16 21:59:25.011 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2023-06-16 21:59:25.022 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2023-06-16 21:59:25.055 [gateway-service,,] [background-preinit] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2023-06-16 21:59:25.062 [gateway-service,,] [background-preinit] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2023-06-16 21:59:25.062 [gateway-service,,] [background-preinit] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2023-06-16 21:59:25.062 [gateway-service,,] [background-preinit] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2023-06-16 21:59:25.063 [gateway-service,,] [background-preinit] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2023-06-16 21:59:25.063 [gateway-service,,] [background-preinit] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2023-06-16 21:59:25.646 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'refreshScope'
2023-06-16 21:59:25.649 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.autoconfigure.RefreshAutoConfiguration$RefreshScopeBeanDefinitionEnhancer'
2023-06-16 21:59:25.649 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'braveReactorContextBeanDefinitionRegistryPostProcessor'
2023-06-16 21:59:25.651 [gateway-service,,] [main] DEBUG o.s.c.s.a.b.BraveBridgeConfiguration$BraveReactorContextBeanDefinitionRegistryPostProcessor - Wrapped Reactor's context into a Brave representation
